Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7994492,HIV_0000000008,COUNTRY,SRB,EUR,YEAR,Europe,,,2014,,,,,,,<1,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4769585,HIV_0000000008,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2014,,,,,,,2,2.0,,,,2016-03-21T10:38:52+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1826852,HIV_0000000008,COUNTRY,STP,AFR,YEAR,Africa,,,2014,,,,,,,42,42.0,,,,2016-03-21T10:38:57+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5643717,HIV_0000000008,COUNTRY,GAB,AFR,YEAR,Africa,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
582408,HIV_0000000008,COUNTRY,DMA,AMR,YEAR,Americas,,,2014,,,,,,,24,24.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
761149,HIV_0000000008,COUNTRY,CHL,AMR,YEAR,Americas,,,2014,,,,,,,8,8.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
436804,HIV_0000000008,COUNTRY,MUS,AFR,YEAR,Africa,,,2014,,,,,,,15,15.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9261123,HIV_0000000008,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,<1,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
741381,HIV_0000000008,COUNTRY,SLB,WPR,YEAR,Western Pacific,,,2014,,,,,,,5,5.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8458722,HIV_0000000008,COUNTRY,GHA,AFR,YEAR,Africa,,,2014,,,,,,,10,10.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4413402,HIV_0000000008,COUNTRY,NIC,AMR,YEAR,Americas,,,2014,,,,,,,29,29.0,,,,2016-03-21T10:38:57+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7504183,HIV_0000000008,COUNTRY,CHN,WPR,YEAR,Western Pacific,,,2014,,,,,,,2,2.0,,,,2016-03-21T10:38:52+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9340710,HIV_0000000008,COUNTRY,MYS,WPR,YEAR,Western Pacific,,,2014,,,,,,,38,38.0,,,,2016-03-21T10:38:57+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1225695,HIV_0000000008,COUNTRY,COL,AMR,YEAR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3030511,HIV_0000000008,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,1,1.0,,,,2016-03-21T10:38:51+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8121337,HIV_0000000008,COUNTRY,SLV,AMR,YEAR,Americas,,,2014,,,,,,,18,18.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5961895,HIV_0000000008,COUNTRY,NIU,WPR,YEAR,Western Pacific,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6710980,HIV_0000000008,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,3,3.0,,,,2016-03-21T10:38:52+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5909607,HIV_0000000008,COUNTRY,DJI,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,6,6.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7909822,HIV_0000000008,COUNTRY,PRY,AMR,YEAR,Americas,,,2014,,,,,,,23,23.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
159327,HIV_0000000008,COUNTRY,TUR,EUR,YEAR,Europe,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7617906,HIV_0000000008,COUNTRY,GMB,AFR,YEAR,Africa,,,2014,,,,,,,4,4.0,,,,2016-03-21T10:38:53+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5306161,HIV_0000000008,COUNTRY,WSM,WPR,YEAR,Western Pacific,,,2014,,,,,,,2,2.0,,,,2016-03-21T10:38:52+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6366713,HIV_0000000008,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2014,,,,,,,<1,,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6691487,HIV_0000000008,COUNTRY,SLE,AFR,YEAR,Africa,,,2014,,,,,,,19,19.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4367580,HIV_0000000008,COUNTRY,NRU,WPR,YEAR,Western Pacific,,,2014,,,,,,,210,210.0,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1206565,HIV_0000000008,COUNTRY,UKR,EUR,YEAR,Europe,,,2014,,,,,,,4,4.0,,,,2016-03-21T10:38:53+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
510606,HIV_0000000008,COUNTRY,SYC,AFR,YEAR,Africa,,,2014,,,,,,,71,71.0,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5068477,HIV_0000000008,COUNTRY,SEN,AFR,YEAR,Africa,,,2014,,,,,,,18,18.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5856866,HIV_0000000008,COUNTRY,KIR,WPR,YEAR,Western Pacific,,,2014,,,,,,,12,12.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4175975,HIV_0000000008,COUNTRY,TCD,AFR,YEAR,Africa,,,2014,,,,,,,1,1.0,,,,2016-03-21T10:38:51+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7326029,HIV_0000000008,COUNTRY,CMR,AFR,YEAR,Africa,,,2014,,,,,,,27,27.0,,,,2016-03-21T10:38:57+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4222273,HIV_0000000008,COUNTRY,BLZ,AMR,YEAR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2998513,HIV_0000000008,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,1,1.0,,,,2016-03-21T10:38:51+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1484281,HIV_0000000008,COUNTRY,CIV,AFR,YEAR,Africa,,,2014,,,,,,,12,12.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7207298,HIV_0000000008,COUNTRY,TZA,AFR,YEAR,Africa,,,2014,,,,,,,16,16.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9149741,HIV_0000000008,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,2014,,,,,,,3,3.0,,,,2016-03-21T10:38:52+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8466774,HIV_0000000008,COUNTRY,MNE,EUR,YEAR,Europe,,,2014,,,,,,,2,2.0,,,,2016-03-21T10:38:52+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9520789,HIV_0000000008,COUNTRY,ALB,EUR,YEAR,Europe,,,2014,,,,,,,1,1.0,,,,2016-03-21T10:38:50+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4275540,HIV_0000000008,COUNTRY,LAO,WPR,YEAR,Western Pacific,,,2014,,,,,,,4,4.0,,,,2016-03-21T10:38:53+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6321102,HIV_0000000008,COUNTRY,DZA,AFR,YEAR,Africa,,,2014,,,,,,,7,7.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5320136,HIV_0000000008,COUNTRY,ATG,AMR,YEAR,Americas,,,2014,,,,,,,16,16.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7618700,HIV_0000000008,COUNTRY,COD,AFR,YEAR,Africa,,,2014,,,,,,,5,5.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7791224,HIV_0000000008,COUNTRY,BGR,EUR,YEAR,Europe,,,2014,,,,,,,3,3.0,,,,2016-03-21T10:38:53+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6420509,HIV_0000000008,COUNTRY,MDG,AFR,YEAR,Africa,,,2014,,,,,,,12,12.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
935469,HIV_0000000008,COUNTRY,LVA,EUR,YEAR,Europe,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8274938,HIV_0000000008,COUNTRY,COG,AFR,YEAR,Africa,,,2014,,,,,,,16,16.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4368422,HIV_0000000008,COUNTRY,NER,AFR,YEAR,Africa,,,2014,,,,,,,13,13.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5154328,HIV_0000000008,COUNTRY,LTU,EUR,YEAR,Europe,,,2014,,,,,,,4,4.0,,,,2016-03-21T10:38:53+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4302324,HIV_0000000008,COUNTRY,ZMB,AFR,YEAR,Africa,,,2014,,,,,,,22,22.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9560967,HIV_0000000008,COUNTRY,AZE,EUR,YEAR,Europe,,,2014,,,,,,,1,1.0,,,,2016-03-21T10:38:51+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2602862,HIV_0000000008,COUNTRY,TLS,SEAR,YEAR,South-East Asia,,,2014,,,,,,,9,9.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5076127,HIV_0000000008,COUNTRY,COK,WPR,YEAR,Western Pacific,,,2014,,,,,,,28,28.0,,,,2016-03-21T10:38:57+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8235722,HIV_0000000008,COUNTRY,ARG,AMR,YEAR,Americas,,,2014,,,,,,,55,55.0,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5373711,HIV_0000000008,COUNTRY,MRT,AFR,YEAR,Africa,,,2014,,,,,,,<1,,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
975541,HIV_0000000008,COUNTRY,HTI,AMR,YEAR,Americas,,,2014,,,,,,,3,3.0,,,,2016-03-21T10:38:53+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3038872,HIV_0000000008,COUNTRY,PAN,AMR,YEAR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6440842,HIV_0000000008,COUNTRY,VNM,WPR,YEAR,Western Pacific,,,2014,,,,,,,2,2.0,,,,2016-03-21T10:38:52+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5453491,HIV_0000000008,COUNTRY,BFA,AFR,YEAR,Africa,,,2014,,,,,,,19,19.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
889828,HIV_0000000008,COUNTRY,KAZ,EUR,YEAR,Europe,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6560497,HIV_0000000008,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,,2014,,,,,,,2,2.0,,,,2016-03-21T10:38:52+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6653449,HIV_0000000008,COUNTRY,FSM,WPR,YEAR,Western Pacific,,,2014,,,,,,,6,6.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5838369,HIV_0000000008,COUNTRY,ETH,AFR,YEAR,Africa,,,2014,,,,,,,6,6.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
413350,HIV_0000000008,COUNTRY,ZAF,AFR,YEAR,Africa,,,2014,,,,,,,11,11.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9091118,HIV_0000000008,COUNTRY,SWZ,AFR,YEAR,Africa,,,2014,,,,,,,36,36.0,,,,2016-03-21T10:38:57+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5360999,HIV_0000000008,COUNTRY,LSO,AFR,YEAR,Africa,,,2014,,,,,,,21,21.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
638076,HIV_0000000008,COUNTRY,VEN,AMR,YEAR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4892090,HIV_0000000008,COUNTRY,ERI,AFR,YEAR,Africa,,,2014,,,,,,,7,7.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3728045,HIV_0000000008,COUNTRY,SUR,AMR,YEAR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
625123,HIV_0000000008,COUNTRY,FJI,WPR,YEAR,Western Pacific,,,2014,,,,,,,17,17.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9654626,HIV_0000000008,COUNTRY,LCA,AMR,YEAR,Americas,,,2014,,,,,,,9,9.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2001960,HIV_0000000008,COUNTRY,ROU,EUR,YEAR,Europe,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8203783,HIV_0000000008,COUNTRY,GEO,EUR,YEAR,Europe,,,2014,,,,,,,7,7.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
